,Algorithm,Partial,EnvName,mean,std
106,PQN_RNN (Mingru),True,AutoEncodeHard,0.24296581333333334,0.005984730635962938
107,PQN_RNN (Mingru),True,AutoEncodeMedium,0.2558141166666667,0.0012148531068541927
108,PQN_RNN (Mingru),True,BattleShipEasy,0.6817210466666667,0.025453593245090854
109,PQN_RNN (Mingru),True,BattleShipHard,0.43306739,0.08878107755732018
110,PQN_RNN (Mingru),True,BattleShipMedium,0.5412207,0.012347235365457334
111,PQN_RNN (Mingru),True,CartPoleEasy,0.8901510899999999,0.02377358681112924
112,PQN_RNN (Mingru),True,CartPoleHard,0.5297544200000001,0.023682889737133082
113,PQN_RNN (Mingru),True,CartPoleMedium,0.7226350333333333,0.015551517352442886
114,PQN_RNN (Mingru),True,CountRecallEasy,0.23087006666666668,0.0057627516011045585
115,PQN_RNN (Mingru),True,CountRecallHard,0.08699200833333333,0.029740138728860336
116,PQN_RNN (Mingru),True,CountRecallMedium,0.13535815866666667,0.0409325408275121
117,PQN_RNN (Mingru),True,MineSweeperEasy,0.5457162833333333,0.015125173723823307
118,PQN_RNN (Mingru),True,MineSweeperHard,0.15250171666666668,0.005175238126717774
119,PQN_RNN (Mingru),True,MineSweeperMedium,0.23862376,0.0023632664475043727
120,PQN_RNN (Mingru),True,NavigatorEasy,0.47972739000000003,0.024164072750223618
121,PQN_RNN (Mingru),True,NavigatorHard,0.16652906766666667,0.1935621575541162
122,PQN_RNN (Mingru),True,NavigatorMedium,0.36028272666666666,0.030158913810051785
123,PQN_RNN (Mingru),True,NoisyCartPoleEasy,0.8999569233333333,0.01573325224380625
124,PQN_RNN (Mingru),True,NoisyCartPoleHard,0.7550413533333334,0.010045863140344564
125,PQN_RNN (Mingru),True,NoisyCartPoleMedium,0.8498068833333333,0.00602310820720778
