Environment,Num Envs,Num Steps,FPS,Seed
POPGym,128,32,226632,6
POPGym,256,32,235866,6
POPGym,512,32,241350,6
POPGym,2,32,35758,7
POPGym,4,32,64373,7
POPGym,8,32,100144,7
POPGym,16,32,140450,7
POPGym,32,32,48058,7
POPGym,64,32,202488,7
POPGym,128,32,226474,7
POPGym,256,32,234518,7
POPGym,512,32,238021,7
POPGym,2,32,37041,8
POPGym,4,32,63936,8
POPGym,8,32,100547,8
POPGym,16,32,140754,8
POPGym,32,32,179743,8
POPGym,64,32,202069,8
POPGym,128,32,228213,8
POPGym,256,32,187599,8
POPGym,512,32,241462,8
POPGym,2,32,36065,9
POPGym,4,32,64188,9
POPGym,8,32,99642,9
POPGym,16,32,139366,9
POPGym,32,32,166730,9
POPGym,64,32,200545,9
POPGym,128,32,227238,9
POPGym,256,32,234918,9
POPGym,512,32,240170,9
POPGym Arcade,2,32,114471,0
POPGym Arcade,4,32,425413,0
POPGym Arcade,8,32,1495462,0
POPGym Arcade,16,32,2468372,0
POPGym Arcade,32,32,2444489,0
POPGym Arcade,64,32,3484760,0
POPGym Arcade,128,32,3696981,0
POPGym Arcade,256,32,4378152,0
POPGym Arcade,512,32,5242560,0
POPGym Arcade,2,32,128684,1
POPGym Arcade,4,32,535265,1
POPGym Arcade,8,32,1462864,1
POPGym Arcade,16,32,1662139,1
POPGym Arcade,32,32,1983819,1
POPGym Arcade,64,32,3965805,1
POPGym Arcade,128,32,3463683,1
POPGym Arcade,256,32,3918766,1
POPGym Arcade,512,32,4833953,1
POPGym Arcade,2,32,136193,2
POPGym Arcade,4,32,442233,2
POPGym Arcade,8,32,683042,2
POPGym Arcade,16,32,2195791,2
POPGym Arcade,32,32,2286990,2
POPGym Arcade,64,32,3812665,2
POPGym Arcade,128,32,3332015,2
POPGym Arcade,256,32,4574589,2
POPGym Arcade,512,32,5002874,2
POPGym Arcade,2,32,180158,3
POPGym Arcade,4,32,484978,3
POPGym Arcade,8,32,755093,3
POPGym Arcade,16,32,2062905,3
POPGym Arcade,32,32,3074422,3
POPGym Arcade,64,32,2747900,3
POPGym Arcade,128,32,3378539,3
POPGym Arcade,256,32,4062395,3
POPGym Arcade,512,32,5322965,3
POPGym Arcade,2,32,458081,4
POPGym Arcade,4,32,357437,4
POPGym Arcade,8,32,1307846,4
POPGym Arcade,16,32,1636802,4
POPGym Arcade,32,32,3389872,4
POPGym Arcade,64,32,2978479,4
POPGym Arcade,128,32,3213593,4
POPGym Arcade,256,32,4700375,4
POPGym Arcade,512,32,4951684,4
POPGym Arcade,2,32,304694,5
POPGym Arcade,4,32,291303,5
POPGym Arcade,8,32,528676,5
POPGym Arcade,16,32,1028488,5
POPGym Arcade,32,32,2338033,5
POPGym Arcade,64,32,3562810,5
POPGym Arcade,128,32,3659964,5
POPGym Arcade,256,32,4685632,5
POPGym Arcade,512,32,5098641,5
POPGym Arcade,2,32,125967,6
POPGym Arcade,4,32,301613,6
POPGym Arcade,8,32,1338830,6
POPGym Arcade,16,32,1484094,6
POPGym Arcade,32,32,1906333,6
POPGym Arcade,64,32,3619863,6
POPGym Arcade,128,32,3388534,6
POPGym Arcade,256,32,4157761,6
POPGym Arcade,512,32,5242560,6
POPGym Arcade,2,32,140395,7
POPGym Arcade,4,32,416825,7
POPGym Arcade,8,32,506960,7
POPGym Arcade,16,32,1302295,7
POPGym Arcade,32,32,3965805,7
POPGym Arcade,64,32,3119076,7
POPGym Arcade,128,32,3974062,7
POPGym Arcade,256,32,4236712,7
POPGym Arcade,512,32,5100911,7
POPGym Arcade,2,32,165293,8
POPGym Arcade,4,32,209062,8
POPGym Arcade,8,32,1216016,8
POPGym Arcade,16,32,940641,8
POPGym Arcade,32,32,2475485,8
POPGym Arcade,64,32,4610808,8
POPGym Arcade,128,32,3131013,8
POPGym Arcade,256,32,3986049,8
POPGym Arcade,512,32,5081674,8
POPGym Arcade,2,32,304004,9
POPGym Arcade,4,32,427105,9
POPGym Arcade,8,32,863137,9
POPGym Arcade,16,32,1705706,9
POPGym Arcade,32,32,1896233,9
POPGym Arcade,64,32,2578786,9
POPGym Arcade,128,32,3271733,9
POPGym Arcade,256,32,5119913,9
POPGym Arcade,512,32,4887240,9
