Environment,Partial Obs,Num Envs,Num Steps,FPS,Seed
BattleShipEasy,False,2,32,55211,3
BattleShipEasy,False,4,32,103663,3
BattleShipEasy,False,8,32,174507,3
BattleShipEasy,False,16,32,232966,3
BattleShipEasy,False,32,32,299635,3
BattleShipEasy,False,64,32,356888,3
BattleShipEasy,False,128,32,410530,3
BattleShipEasy,False,256,32,459724,3
BattleShipEasy,False,512,32,470756,3
BattleShipEasy,False,2,32,53914,4
BattleShipEasy,False,4,32,108481,4
BattleShipEasy,False,8,32,173045,4
BattleShipEasy,False,16,32,258515,4
BattleShipEasy,False,32,32,310712,4
BattleShipEasy,False,64,32,360603,4
BattleShipEasy,False,128,32,410021,4
BattleShipEasy,False,256,32,454458,4
BattleShipEasy,False,512,32,471072,4
BattleShipEasy,False,2,32,53050,5
BattleShipEasy,False,4,32,99587,5
BattleShipEasy,False,8,32,172516,5
BattleShipEasy,False,16,32,236924,5
BattleShipEasy,False,32,32,302313,5
BattleShipEasy,False,64,32,367107,5
BattleShipEasy,False,128,32,421168,5
BattleShipEasy,False,256,32,457831,5
BattleShipEasy,False,512,32,471165,5
BattleShipEasy,False,2,32,58803,6
BattleShipEasy,False,4,32,98023,6
BattleShipEasy,False,8,32,171661,6
BattleShipEasy,False,16,32,232563,6
BattleShipEasy,False,32,32,305257,6
BattleShipEasy,False,64,32,367625,6
BattleShipEasy,False,128,32,410373,6
BattleShipEasy,False,256,32,453265,6
BattleShipEasy,False,512,32,469376,6
BattleShipEasy,False,2,32,57102,7
BattleShipEasy,False,4,32,102125,7
BattleShipEasy,False,8,32,173998,7
BattleShipEasy,False,16,32,244143,7
BattleShipEasy,False,32,32,304112,7
BattleShipEasy,False,64,32,358437,7
BattleShipEasy,False,128,32,405693,7
BattleShipEasy,False,256,32,457569,7
BattleShipEasy,False,512,32,467766,7
BattleShipEasy,False,2,32,58053,8
BattleShipEasy,False,4,32,108525,8
BattleShipEasy,False,8,32,163158,8
BattleShipEasy,False,16,32,247349,8
BattleShipEasy,False,32,32,309013,8
BattleShipEasy,False,64,32,359743,8
BattleShipEasy,False,128,32,411376,8
BattleShipEasy,False,256,32,452298,8
BattleShipEasy,False,512,32,469360,8
BattleShipEasy,False,2,32,58919,9
BattleShipEasy,False,4,32,108066,9
BattleShipEasy,False,8,32,167825,9
BattleShipEasy,False,16,32,248293,9
BattleShipEasy,False,32,32,317065,9
BattleShipEasy,False,64,32,375057,9
BattleShipEasy,False,128,32,407666,9
BattleShipEasy,False,256,32,454777,9
BattleShipEasy,False,512,32,468394,9
NoisyCartPoleEasy,False,2,32,202287,0
NoisyCartPoleEasy,False,4,32,513752,0
NoisyCartPoleEasy,False,8,32,1104673,0
NoisyCartPoleEasy,False,16,32,859337,0
NoisyCartPoleEasy,False,32,32,1839386,0
NoisyCartPoleEasy,False,64,32,1610411,0
NoisyCartPoleEasy,False,128,32,1862922,0
NoisyCartPoleEasy,False,256,32,2132423,0
NoisyCartPoleEasy,False,512,32,2343215,0
NoisyCartPoleEasy,False,2,32,192565,1
NoisyCartPoleEasy,False,4,32,430876,1
NoisyCartPoleEasy,False,8,32,612517,1
NoisyCartPoleEasy,False,16,32,1140459,1
NoisyCartPoleEasy,False,32,32,1311440,1
NoisyCartPoleEasy,False,64,32,1977425,1
NoisyCartPoleEasy,False,128,32,1855077,1
NoisyCartPoleEasy,False,256,32,2156514,1
NoisyCartPoleEasy,False,512,32,2333191,1
